hptbid	plg	protoform	gloss	pages	mainpage	init	allofams	semclass	semclass2	tags	etyma_links
294	PTB	*s-gaŋ	hill / ridge / mountain	266, 303		*g	*gaŋ	place		3581	3581
296	PTB	*gar	leave / abandon	390		*g	*gar	place		2233	2233
297	PTB	*gaːr ⪤ *s-ga	dance / sing / leap / stride	392, 401, 425, 427		*g	*gaːr ⪤ *ga	place		2234,3533?	2234,3533
298	PTB	*gaːr ⪤ *kaːr	solid / frozen	392, 426		*g	*gaːr ⪤ *kaːr	cold		?	
299	PTB	*gaw	call	225, 226		*g	*gaw	noise		2235	2235
300	PTB	*gay ⪤ *kay	plant (v.)	209		*g	*gay ⪤ *kay	tool		?	
301	PTB	*gəw-n ⪤ *kəw-n	elder brother / senior male relative	450		*g	*gəw ⪤ *kəw	kinship		?	
302	PLB	*gəw²	nine	182, 477		*g	*gəw	number			6220
303	PTB	*gil	turn / corner	410, 412		*g	*gil	tool		?	6185
304	PTB	*gip	ten	353		*g	*gip	number		2238	2238
305	PLB	*ʔ-gla²	between / have a space between / interval	71, 163		*g	*gla	place		691?	691
306	PTB	*gla	musk deer	176		*g	*gla	animal		?	
307	PLB	*gla²	hear / listen	19, 72, 163		*g	*gla	noise		?	
308	PTB	*glan	repair / mend	301		*g	*glan	tool	clothe	?	
309	PLB	*ʔ-glaŋ¹	marrow / brain	265, 507		*g	*glaŋ	bodypart			
310	PTB	*glaŋ	eagle / vulture / falcon / bird of prey	23, 75		*g	*glaŋ	animal			
311	PTB	*glaŋ	elephant	302		*g	*glaŋ	animal		3318	3318
312	PTB	*glaŋ	willow / poplar	304		*g	*glaŋ	plant		?	
313	PLB	*ʔ-klakᴴ ⪤ *m-klakᴴ	cold	72		*g	*glaŋ ⪤ *glak ⪤ *graŋ	cold			
314	PTB	*glaŋ	cold / freeze	262, 325, 521		*g	*glaŋ ⪤ *glak ⪤ *graŋ	cold		2239,2245	2239,2245
315	PTB	*graŋ	cold / freeze	262, 302		*g	*glaŋ ⪤ *glak ⪤ *graŋ	cold			
316	PLB	*m-glaŋ¹	cold / freeze	72		*g	*glaŋ ⪤ *glak ⪤ *graŋ	cold			
317	PTB	*m/ʔ-glak	cold / freeze	325, 521		*g	*glaŋ ⪤ *glak ⪤ *graŋ	cold			
318	PTB	*glaŋ ⪤ *klaŋ	word / language / speech / sound	267		*g	*glaŋ ⪤ *klaŋ	kinship		?	
319	PTB	*glay	wide / apart	221		*g	*glay	place		3574	3574
320	PTB	*gleːk	thunderbolt / lightning	373		*g	*gleːk	light		2240	2240
321	PLB	*gim¹	set (of the sun)	249		*g	*g(l)im ⪤ *g(l)um	light		?	
322	PTB	*g(l)im ⪤ *g(l)um	set (of the sun)	274, 499		*g	*g(l)im ⪤ *g(l)um	light			
323	PTB	*gliŋ	land	280		*g	*gliŋ	place		?	
324	PTB	*gliŋ	tube / flute	280		*g	*gliŋ	tool		2242	2242
325	PTB	*m-glun	kidney	73, 125, 198		*g	*glun	bodypart		1244?	1244
326	PTB	*glwak	shine / flash	328		*g	*glwak	light		?	
327	PTB	*gow ⪤ *gaw	cross over	224, 226, 515		*g	*gow ⪤ *gaw	place		2243	2243
328	PTB	*gra	long (time)	175		*g	*gra	natural		?	
329	PTB	*gra	stranger / guest / enemy	173		*g	*gra	kinship		?	
330	PTB	*grak	cord / tie / bind	327		*g	*grak	tool	clothe	?	6132
331	PTB	*gram	net	299		*g	*gram	tool	clothe	?	
332	PTB	*gram	rough / coarse	252, 532		*g	*gram	bodypart		1839?	1839
333	PTB	*graŋ	deny	81		*g	*graŋ	kinship			
334	PTB	*graŋ	provide (food)	303		*g	*graŋ	bodypart		?	
335	PTB	*graŋ ⪤ *kraŋ	measure / count	303		*g	*graŋ ⪤ *kraŋ	number		?	57
336	PTB	*graŋ ⪤ *kraŋ	strong / firm / tight / distended	267, 303		*g	*graŋ ⪤ *kraŋ	bodypart		?	
337	PLB	*ʔ-gray¹	insert / put into	212		*g	*gray	tool		?	
338	PTB	*graːy	scatter / sow (seeds) / disperse	211		*g	*graːy	plant		3574	3574
339	PTB	*graːy	star	212		*g	*graːy	natural		3574	3574
340	PTB	*b-gres	old	437		*g	*gres	natural		?	
341	PLB	*ʔ-grəy¹	star	23		*g	*grəy	natural			
342	PTB	*grəy	copper	189		*g	*grəy	tool		2247	2247
343	PLB	*grəy²	copper	19		*g	*grəy	tool			
344	PLB	*s-grəy¹	melt	190		*g	*grəy	tool		?	
345	PTB	*s/m-grəy	melt	189		*g	*grəy	tool			
346	PTB	*grim	hasten	305		*g	*grim	place		?	
347	PTB	*s-grim	catch / hold fast	305		*g	*grim	tool		?	6174
348	PTB	*grim ⪤ *krim	meet	497		*g	*grim ⪤ *krim	place		?	
349	PLB	*ʔ-gripᴸ	bug / ant / insect (lac) / cochineal	316, 376		*g	*grip	animal			
350	PTB	*grok	ravine / gulf	378		*g	*grok	natural		1277	1277
351	PTB	*grol	finish / loose / relax	423		*g	*grol	tool			
352	PTB	*grol	overbearing / exploitative	421		*g	*grol	kinship		?	
353	PTB	*groːl	wash / clean	421		*g	*groːl	tool		?	
354	PTB	*groy	crow (v.) / howl	228		*g	*groy	noise		2250	2250
355	PTB	*s-grum	contracted / stunted / dwarfish	272		*g	*grum	place		?	
356	PTB	*grum ⪤ *krum	meet	497		*g	*grum ⪤ *krum	place			
357	PTB	*gruŋ	horn	145		*g	*gruŋ	bodypart		814,2009	814,2009
358	PTB	*grup ⪤ *ʔ-grup ⪤ *ʔ-drup	sew	141		*g	*grup ⪤ *drup	tool	clothe	2627	2627
359	PTB	*grwa	birch	175		*g	*grwa	plant		?	
360	PTB	*grwa	taro / potato	173		*g	*grwa	plant		?	
361	PTB	*s-grwa	feather	172		*g	*grwa	bodypart		764?,767?	764,767
362	PTB	*grwak	friend / assist	327		*g	*grwak	kinship		?	
363	PTB	*grwas	speak / word	437		*g	*grwas	kinship		?	
364	PTB	*grwat	belly / stomach / intestines	334		*g	*grwat	bodypart		2112	2112
365	PTB	*grwat	travel / go through	335		*g	*grwat	place		?	
366	PLB	*ʔ-grwəy²	sweat	82, 195		*g	*grwəy	bodypart		2349	2349
367	PTB	*grwil ⪤ *krwil	fall (as leaves) / cause to fall	410		*g	*grwil ⪤ *krwil	place		?	
368	PTB	*gryum	salt	308		*g	*gryum	natural		2644	2644
369	PLB	*m-gu¹/³	prepare / practice / rehearse	180		*g	*gu	tool		?	
370	PTB	*gu ⪤ *ku	owl	199		*g	*gu ⪤ *ku	animal		2251	2251
371	PTB	*gu(ː)k ⪤ *m-ku(ː)k	crooked / bent / knee / angle	124, 141, 357, 358, 362		*g	*gu(ː)k ⪤ *ku(ː)k	bodypart		2252	2252
372	PLB	*gukᴸ	crooked / bent / knee / angle	315		*g	*gu(ː)k ⪤ *ku(ː)k	bodypart			
373	PTB	*guːl	bulge / bend	418		*g	*guːl	bodypart		?	
374	PTB	*gum ⪤ *kum	die / kill	308		*g	*gum ⪤ *kum	bodypart		3300	3300
375	PTB	*guŋ	body	309		*g	*guŋ	bodypart		1	1
376	PLB	*guŋ¹	body	19		*g	*guŋ	bodypart			
377	PTB	*r-guːŋ	edge / shin	127, 287		*g	*guːŋ	bodypart		583,2254	583,2254
378	PTB	*guŋ ⪤ *kuŋ	hollow / hole / empty	285, 310		*g	*guŋ ⪤ *kuŋ	place		820	820
379	PLB	*guŋ² ⪤ *kuŋ²	hollow / hole / empty	285		*g	*guŋ ⪤ *kuŋ	place			820
380	PTB	*gwa	fox	167, 173		*g	*gwa	animal		2255	2255
381	PTB	*gwa-n ⪤ *kwa-n	net (casting)	177, 258, 280, 450		*g	*gwa ⪤ *kwa	tool	clothe	2367	2367
382	PTB	*gwa-n ⪤ *kwa-n	wear / put on / clothe	168, 172, 177, 259, 333, 334, 452		*g	*gwa ⪤ *kwa	tool	clothe	2256,2779	2256,2779
383	PLB	*gwa²	wear	25		*g	*gwa ⪤ *kwa	tool	clothe		
384	PLB	*m-gwapᴸ ⪤ *C-krapᴸ	munch / bite down on	338		*g	*gwap ⪤ *krap	bodypart		1763?	1763
385	PLB	*ʔ-gʷəy²	comb	25		*g	*gʷəy	tool			
386	PTB	*m-gwi(y)	elephant	200		*g	*gwi(y)	animal		2257	2257
387	PLB	*m-gʷya¹/²	trumpet	26		*g	*gʷya	noise		?	
388	PLB	*m-gʷya²	chew	26, 85		*g	*gʷya	bodypart		1762,1761?	1762,1761
389	PTB	*b-r-gya	hundred	129, 162, 165, 168, 251		*g	*gya	number		2258	2258
390	PLB	*ʔ-gyan¹ ⪤ *ʔ-kyan¹	filter / strain	248, 260		*g	*gyan ⪤ *kyan	tool		?	
391	PLB	*ʔ-gyaŋ¹	spin	266		*g	*gyaŋ	tool	clothe	?	
392	PLB	*m/ʔ-gyaŋ¹/³	practice / train	265		*g	*gyaŋ	tool		?	
393	PTB	*gyap	narrow / crowded	338, 342		*g	*gyap	place		?	6186
394	PLB	*gyapᴸ	narrow	315		*g	*gyap	place			6187
395	PTB	*gyar ⪤ *hyar	run / ride / go by vehicle	58, 65, 391		*g	*gyar ⪤ *hyar	place		3533	3533
396	PTB	*gyat	hero	335		*g	*gyat	kinship		?	
397	PTB	*b-r-gyat ⪤ *b-g-ryat	eight	149, 151, 331, 334, 352, 506		*g	*gyat ⪤ *ryat	number		2259	2259
398	PLB	*gyəy²	parrot	189		*g	*gyəy	animal		?	
399	PTB	*gyi ⪤ *dzyi	ride (horse)	188, 200		*g	*gyi ⪤ *dzyi	animal		2237	2237
400	PTB	*ʔ-gyik	little bit	346		*g	*gyik	place		?	
401	PLB	*ʔ-gyiŋ²	narrow / constricted	282		*g	*gyiŋ	place		180?	180
402	PTB	*g(y)ip	ten	198, 352, 356		*g	*g(y)ip	number			
403	PTB	*g(y)it/k ⪤ *k(y)it/k	tie / bind	345, 347, 528, 344		*g	*g(y)it/k ⪤ *k(y)it/k	tool	clothe	180	180
404	PTB	*s-gyoŋ	guard / tend grazing animals	294		*g	*gyoŋ	light		2378	2378
405	PNN	*C-gyuay	comb	26		*g	*gyuay	tool			
406	PTB	*gyuk	waist	357		*g	*gyuk ⪤ *dzyuk	bodypart		215,216	215,216
407	PLB	*gyukᴸ ⪤ *džukᴸ	waist	72, 358		*g	*gyuk ⪤ *dzyuk	bodypart			
408	PTB	*g(y)wal ⪤ *k(y)wal	slave / servant	261, 408, 424		*g	*g(y)wal ⪤ *k(y)wal	kinship		?	
409	PLB	*gywan¹	slave	248, 261		*g	*g(y)wal ⪤ *k(y)wal	kinship			
410	PTB	*ha ⪤ *r-ka	earth / ground / soil	57, 127		*h	*ha ⪤ *ka	place		2284	2284
411	PTB	*ha(ː)k ⪤ *kak	gag / choke	57, 325		*h	*ha(ː)k ⪤ *kak	bodypart		2260	2260
412	PTB	*hal	snore	406, 424		*h	*hal	bodypart		1785	1785
413	PLB	*haŋ²	cooked rice / food to eat with rice	264		*h	*haŋ	plant		3527	3527
414	PTB	*haːŋ	black	268		*h	*haːŋ	light		?	
415	PTB	*hap	bite / snap at / mouthful	58, 335, 341		*h	*hap	bodypart		743	743
416	PTB	*har	phlegm	391		*h	*har	bodypart		541,3503	541,3503
418	PTB	*haːy	lie / deceive / dissemble	210		*h	*haːy	kinship		3511	3511
419	PTB	*haːy	mango	210		*h	*haːy	plant		?	
420	PTB	*heːr-s	dry	400, 426		*h	*heːr	water		3501	3501
421	PTB	*m-hew	spoiled / wasted	231		*h	*hew	light		2263	2263
422	PLB	*hla³	spirit	56		*h	*hla	bodypart			
423	PTB	*m-hla	god / soul / beautiful	162, 172		*h	*hla	bodypart		2264	2264
424	PTB	*ho ⪤ *hol	fall	58, 421, 428		*h	*ho ⪤ *hol	place		3507	3507
425	PTB	*hor	distribute	58, 400		*h	*hor	kinship		3499	3499
426	PTB	*hrew	burrow	231		*h	*hrew	place		2604	2604
427	PTB	*hu	rear (offspring) / raise (to maturity) / nourish	58		*h	*hu	kinship		97,3518	97,3518
428	PTB	*hu ⪤ *r-kəw	steal	57		*h	*hu ⪤ *kəw	kinship		2365	2365
429	PTB	*hul ⪤ *hil	sweet	58, 419, 501		*h	*hul ⪤ *hil	bodypart		3512	3512
430	PTB	*hul ⪤ *hwa(ː)l	heat up / burn	58, 429, 514		*h	*hul ⪤ *hwa(ː)l	light			
431	PTB	*hur ⪤ *hir	wash	397, 501		*h	*hur ⪤ *hir	tool		3519	3519
432	PTB	*hur ⪤ *hir ⪤ *hyar ⪤ *hwar	sweat	399, 429, 514		*h	*hur ⪤ *hir ⪤ *hyar ⪤ *hwar	bodypart		798?	798
433	PTB	*hus	wet / dew	435		*h	*hus	water		2267	2267
434	PTB	*hwa-t	light / brightness / shine	334, 429, 444, 463		*h	*hwa	light		2271	2271
435	PTB	*s-hwal	joint / wrist	407, 423		*h	*hwal	bodypart		425	425
436	PTB	*hwal ⪤ *hwar	fire / shine	409		*h	*hwal ⪤ *hwar	light			
437	PTB	*hwam	burn / shine	429		*h	*hwam	light		?	3609
438	PTB	*hwan/t	shine / bright / light	429		*h	*hwan ⪤ *hwat	light		2271	2271
439	PTB	*hwaŋ	come / enter	269		*h	*hwaŋ	place		1812,2269	1812,2269
440	PTB	*hwaŋ	encircle / fence	269		*h	*hwaŋ	place		2270	2270
441	PTB	*hwaŋ	shine / bright / yellow	430		*h	*hwaŋ	light			
442	PTB	*hwar	hawk	393		*h	*hwar	animal		3523	3523
443	PTB	*hwaːr	fire / burn / shine / white	385, 402, 426		*h	*hwaːr	light			
444	PTB	*hwaːr ⪤ *yar	white / yellow / bright / shine	429		*h	*hwaːr ⪤ *yar	light			
445	PTB	*hwaːy	wither / fade	214		*h	*hwaːy	light		3529	3529
446	PTB	*h(w)aːy	flurried / dazed / foolish	214		*h	*h(w)aːy	bodypart		?	
447	PTB	*hway ⪤ *kwa(ː)y	hide (v.) / conceal / shun	57, 213		*h	*hway ⪤ *kwa(ː)y	light		2369	2369
448	PTB	*hwel	mix / stir	420		*h	*hwel	tool		3524	3524
449	PTB	*hya	swidden / field (mountain)	171		*h	*hya	place		?	
450	PLB	*hya¹	swidden / field (mountain)	56		*h	*hya	place			
451	PTB	*hyak	back	65		*h	*hyak	bodypart		3530	3530
452	PTB	*hyak	scratch	65, 323		*h	*hyak	bodypart		1458	1458
453	PTB	*hyal	take / keep	65, 406		*h	*hyal	tool		3537	3537
454	PTB	*hyam	mat	65		*h	*hyam	tool		3532	3532
455	PTB	*hyam	salty	299		*h	*hyam	bodypart		?	
456	PTB	*h(y)an	curry / vegetable dish	65		*h	*h(y)an	plant		3531	3531
457	PTB	*hyen	hear / listen / look / see	65		*h	*hyen	light		3417	3417
458	PTB	*hyop ⪤ *hyom	jump	65		*h	*hyop ⪤ *hyom	place		3536	3536
459	PTB	*hyu ⪤ *huy	whistle	65		*h	*hyu ⪤ *huy	noise		3418,3538	3418,3538
460	PTB	*s-hywəy	blood	66, 85, 102, 194, 201, 230, 464		*h	*hywəy	bodypart		230,74	230,74
461	PTB	*b-ka-n	bitter / liver	20, 24, 162, 164, 167, 170, 172, 176, 451		*k	*ka	bodypart		229	229
462	PTB	*ka	span / divaricate	24		*k	*ka	place		3383	3383
463	PTB	*ka	word / speech / language	174		*k	*ka	kinship		1754	1754
464	PTB	*ka-n	crow (n.)	447		*k	*ka	animal		2279	2279
465	PTB	*ka-y	which / like / deictic	488		*k	*ka	kinship		?	
466	PLB	*ka¹	all	163		*k	*ka	number		?	
467	PLB	*ka¹	grain of rice	163		*k	*ka	plant		?	
468	PLB	*ka²	back / loins	428		*k	*ka	bodypart			
469	PLB	*ka³	sow (seeds)	163		*k	*ka	plant		?	
470	PTB	*m-ka	open / opening / mouth / door	21, 125, 170, 173		*k	*ka	place			466
471	PTB	*m-ka-n	heavens / sky / sun	177, 450		*k	*ka	light		?	
472	PTB	*m/s-ka-y	go / stride	484		*k	*ka	place		?	
473	PTB	*s-ka ⪤ *m-ka-y	jaw / chin	24, 170, 486		*k	*ka	bodypart		2283,273,269	2283,273,269
474	PTB	*kak	expensive / at its peak	317, 328		*k	*kak	place		2285	2285
475	PLB	*kakᴴ	village	319		*k	*kak	place		?	
476	PLB	*m-kak	crawl  /  creep	120		*k	*kak	animal		?	
477	PTB	*kaːk	phlegm	325		*k	*kaːk	bodypart		540,2287	540,2287
478	PTB	*s-kaːk	fork / branch	325		*k	*kaːk	plant		1278	1278
479	PTB	*kal	congeal	404, 405		*k	*kal	cold		2288	2288
480	PTB	*kaːl	between / interval	422		*k	*kaːl	place		691?	691
481	PTB	*r-ka(ː)m	edge / bank / precipice / lip / mouth	127, 251, 298		*k	*ka(ː)m	bodypart		454,2290	454,2290
482	PTB	*kan	dry up	258, 259		*k	*kan	water		120,2294?	120,2294
483	PTB	*kaŋ	father / grandfather	302		*k	*kaŋ	kinship		2293	2293
484	PTB	*kaŋ	which / like / deictic	488		*k	*kaŋ	kinship		?	
485	PLB	*kaŋ¹	hill / high ground	265		*k	*kaŋ	place			
486	PLB	*kaŋ²	spread / stretch out	266		*k	*kaŋ	place		3383?	3383
487	PTB	*m-kaŋ	spider	266		*k	*kaŋ	animal		?	
488	PTB	*ka(ː)ŋ	roast / toast / burn / be dry	268		*k	*ka(ː)ŋ	light		119,2294	119,2294
489	PTB	*r-kaŋ ⪤ *keŋ	leg / foot / stem / stalk	283, 293, 311		*k	*kaŋ ⪤ *keŋ	bodypart		336,338	336,338
490	PTB	*kaŋ ⪤ *waŋ	spider / spin	57		*k	*kaŋ ⪤ *waŋ	animal			
491	PTB	*kap	fork / crotch / groin	336, 340, 341		*k	*kap	bodypart		1279	1279
492	PTB	*kap	needle	198, 251, 342		*k	*kap	tool	clothe		
493	PTB	*kaːp ⪤ *kam	draw water / scoop water / concave	341, 517		*k	*kaːp ⪤ *kam	water		2296	2296
494	PTB	*kar	lead (metal) / bronze	390		*k	*kar	tool		2299	2299
495	PTB	*s-kar	star	386, 387, 391		*k	*kar	natural		2300	2300
497	PTB	*kaw	basket	225		*k	*kaw	tool		2302	2302
498	PTB	*kaːw	grasshopper	226		*k	*kaːw	animal		2303	2303
499	PTB	*kaːy	pull / drag / lead (v.)	210		*k	*kaːy	place		?	
501	PTB	*s-ke-k	neck / neck-shaped	204, 481		*k	*ke	bodypart		495?	495
502	PLB	*C-ketᴸ	break off a piece / notch / chip	315, 375		*k	*ket	tool		?	
503	PTB	*d-kew	scratch	231		*k	*kew	tool		2307	2307
504	PTB	*d-key ⪤ *d-kəy	tiger	139, 141, 217, 219, 510		*k	*key ⪤ *kəy	animal		2308	2308
505	PTB	*d/s-kəw	nine	139, 140, 149, 178, 184, 199		*k	*kəw	number		2364	2364
506	PTB	*kəw-n/t	smoke	178, 184, 199, 451, 454		*k	*kəw	light		2361	2361
507	PLB	*kəw²	smoke	182		*k	*kəw	light			
508	PTB	*s-kəw	body / corpse	198		*k	*kəw	bodypart		2	2
509	PLB	*kəw²	steal	182		*k	*kəw ⪤ *kun ⪤ *kut	kinship			
510	PTB	*r-kəw ⪤ *r-kun ⪤ *r-kut	steal / thief	127, 129, 178, 184, 198, 227, 441, 442, 454, 515		*k	*kəw ⪤ *kun ⪤ *kut	kinship			
511	PTB	*d-kəy	deer (barking)	139, 189		*k	*kəy	animal		2313	2313
512	PTB	*s-kəy	borrow / lend	191, 443		*k	*kəy	kinship		2314	2314
513	PTB	*hiːl	bind / twist / roll / angle	57		*k	*kiːl ⪤ *hiːl	tool	clothe	2310	2310
514	PTB	*s-kiːl	bind / twist / roll / angle	412, 413, 426		*k	*kiːl ⪤ *hiːl	tool	clothe		
515	PTB	*kla-k/y/t ⪤ *gla-k/y/t	fall	34, 70, 165, 209, 231, 374, 462, 480, 483		*k	*kla ⪤ *gla	place		2315	2315
516	PLB	*ʔ-klakᴴ ⪤ *glakᴴ	graze (forage)	63, 317		*k	*klak ⪤ *glak	plant		3371?	3371
517	PTB	*glak	cooked	70		*k	*klak ⪤ *glak	tool		2316	2316
518	PTB	*klak	cook / boil (v.)	70		*k	*klak ⪤ *glak	tool			
519	PTB	*s-glak	cook / boil (v.)	63, 128, 317		*k	*klak ⪤ *glak	tool			
520	PTB	*klaw	dig out / weed (v.)	23, 225		*k	*klaw	plant		2317	2317
521	PTB	*kləy	excrement	21, 189, 201		*k	*kləy	bodypart		572,2336	572,2336
522	PTB	*r-kliŋ ⪤ *r-kl(y)aŋ	marrow / brain	128, 282, 283, 495, 507		*k	*kliŋ ⪤ *kl(y)aŋ	bodypart		459	459
523	PTB	*s-klum	sweet	275		*k	*klum	bodypart		2320	2320
524	PTB	*klu(ː)ŋ ⪤ *k(l)uk	valley / river	287, 524		*k	*klu(ː)ŋ ⪤ *k(l)uk	place		2322	2322
525	PTB	*klup	cover / wrap	369		*k	*klup	tool	clothe	2321,1233?	2321,1233
526	PTB	*klyoŋ	stream / river / valley	294		*k	*klyoŋ	place		2322?	2322
527	PTB	*r-ko-t ⪤ *r-go-t	dig out / scoop up	127, 129, 380, 461, 463		*k	*ko ⪤ *go	tool		2325	2325
528	PLB	*ʔ-gukᴸ	outer covering / bark (n.) / rind / skin	378		*k	*kok ⪤ *kwa(ː)k	bodypart	clothe		586
529	PTB	*kok	outer covering / bark (n.) / rind / skin	378, 514		*k	*kok ⪤ *kwa(ː)k	bodypart	clothe	586,2323,589,784	586,2323,589,784
530	PTB	*r-kwa(ː)k	outer covering	328, 514		*k	*kok ⪤ *kwa(ː)k	bodypart	clothe		
531	PTB	*kor	horse	385, 400		*k	*kor	animal		?	
532	PTB	*koːr	peel / husk	385, 401, 426		*k	*koːr	bodypart		589?	589
533	PTB	*kor ⪤ *kwar	hole / pit / valley / cave	395, 401		*k	*kor ⪤ *kwar	place		665,2324,2368	665,2324,2368
534	PTB	*koy	bend / curved	228		*k	*koy	place		2326	2326
535	PTB	*s-kra	hair (head)	102		*k	*kra	bodypart	clothe	367	367
536	PLB	*krakᴴ	crossbow	61, 146		*k	*krak	tool		?	
537	PTB	*m-krak	scratch / rake (v.)	318		*k	*krak	tool		1465	1465
538	PTB	*kram	fence / garden	22, 299		*k	*kram	place		?	3606
539	PLB	*kram¹	fence / garden	253		*k	*kram	place			3606
540	PTB	*kraŋ	mosquito / ʴrefly	262		*k	*kraŋ	animal		2328?	2328
541	PTB	*krap	shell / shield	342		*k	*krap	bodypart		?	
542	PTB	*krap	weep	137, 336, 339, 342		*k	*krap	noise		1103	1103
543	PTB	*s-krep	bug / ant / insect (lac) / cochineal	376		*k	*krep	animal		2331	2331
544	PTB	*b-kres	hungry / famine	437		*k	*kres	bodypart		106?	106
545	PTB	*m-kret	scratch / scrape	375		*k	*kret	tool		?	6131
546	PTB	*krəw	thread / string / plait	199		*k	*krəw	tool	clothe	533?	533
547	PTB	*krəw-k	horn	23, 75, 184, 480		*k	*krəw	animal		2345	2345
548	PTB	*krəw-t	wash	461		*k	*krəw	water		2344	2344
549	PLB	*krəw¹	horn	72, 182		*k	*krəw	animal			
550	PTB	*m-k(r)əw	dove	125, 134, 199		*k	*k(r)əw	animal		2346	2346
551	PLB	*m-krəw²	dove	16		*k	*k(r)əw	animal			
552	PTB	*krəy ⪤ *m-kri(y)-t-s	gall / bile / sour	22, 118, 189, 193, 436, 456		*k	*krəy	bodypart		227	227
553	PTB	*krəy	foot / footstool	22, 71, 189, 200, 201		*k	*krəy	bodypart		335	335
554	PTB	*krəy	moon / moonlight	189		*k	*krəy	natural		?	
555	PTB	*kri-t	fear	462		*k	*kri	bodypart		2337	2337
556	PTB	*krim	custom / prohibition	305		*k	*krim	kinship		?	
557	PTB	*krim	threaten / terrify	271		*k	*krim	kinship		2332	2332
558	PLB	*krin²	bowl / dish / cup	278		*k	*krin	tool		?	
559	PTB	*kriŋ	thread / string	23		*k	*kriŋ	tool	clothe	372	372
560	PLB	*kriŋ¹	thread / string	282		*k	*kriŋ	tool	clothe		
561	PTB	*kriːt	grind	69, 350		*k	*kriːt	tool		2333	2333
562	PTB	*kri(y)	fear	193		*k	*kri(y)	bodypart			
563	PTB	*k/grok ⪤ *k/grak	fear / frighten	327, 377, 513		*k	*krok ⪤ *grok ⪤ *k/grak	bodypart		2249	2249
564	PTB	*kroy	borrow / debt	229		*k	*kroy	kinship		2339	2339
565	PTB	*kroy	shellfish	228		*k	*kroy	animal		2340	2340
566	PTB	*kroy	surround	229		*k	*kroy	place		2341	2341
567	PTB	*k(r)u-t ⪤ *g(r)u-t	hand	365		*k	*k(r)u ⪤ *g(r)u	bodypart		712	712
568	PTB	*d-kruk	six	23, 71		*k	*kruk	number		2621	2621
569	PTB	*kruk	pen / corral	357		*k	*kruk	tool		?	
570	PTB	*kruk	rouse / awaken / disturb	363		*k	*kruk	light		?	
571	PTB	*s-krul ⪤ *s-ŋrul	sweat	83, 102, 129, 414		*k	*krul ⪤ *ŋrul	bodypart		615	615
572	PTB	*kruŋ	born / give birth / alive / green	285, 288		*k	*kruŋ	bodypart	reproductive	20	20
573	PTB	*kruːŋ	cage	287		*k	*kruːŋ	tool		1276	1276
574	PTB	*krwap	rustle	82, 338		*k	*krwap	noise		2347	2347
575	PLB	*ʔ-grwəy²	sweat	82		*k	*krwəy	bodypart			
576	PTB	*krwəy	son-in-law / daughter-in-law	22, 69, 82, 194, 200		*k	*krwəy	kinship		2348	2348
577	PTB	*krwi(y)	sew	82		*k	*krwi(y)	tool	clothe	2350	2350
578	PTB	*kuk	basket / pouch	356, 359, 361		*k	*kuk	tool		1617	1617
579	PTB	*kuk	return / year	357, 358		*k	*kuk	natural			
580	PTB	*kuk	wear on head	357		*k	*kuk	tool	clothe	1224	1224
581	PTB	*m-kuk	collide / butt against	357		*k	*kuk	place		?	
582	PTB	*kuːk	shear / strip / pare	359, 361		*k	*kuːk	tool		2353	2353
583	PTB	*kuːk	weep / wail	363		*k	*kuːk	noise		1781?	1781
584	PTB	*m-kul	twenty / all	24, 119, 384, 385, 388, 414, 416, 425		*k	*kul	number		2355	2355
585	PTB	*s-kul	instruct / explain / admonish	423		*k	*kul	kinship		?	
586	PTB	*ku(ː)m	arched / vaulted / convex / concave	276		*k	*ku(ː)m	place		2357	2357
587	PTB	*m-kum ⪤ *m-kim	block / pillow	125, 147, 198, 272, 275, 308, 496, 503		*k	*kum ⪤ *kim	tool			
588	PLB	*m-kum²	block / pillow	124, 249		*k	*kum ⪤ *kim	tool			
589	PTB	*kun	all	278		*k	*kun	number		3572	3572
590	PTB	*kuːŋ	tree / branch / stem	287, 310		*k	*kuːŋ	plant		2358	2358
591	PTB	*kur ⪤ *ʔur	hand	396		*k	*kur ⪤ *ʔur	bodypart			
592	PTB	*ku(ː)t	scrape / carve / scratch	364, 496		*k	*ku(ː)t	tool		1462,2359	1462,2359
593	PTB	*ku(w)	mouth	198		*k	*ku(w)	bodypart		468	468
594	PTB	*kwa	hoof	170		*k	*kwa	bodypart		417,414?	417,414
595	PTB	*s-kwa	nine	24		*k	*kwa	number		2364	2364
596	PTB	*kwa ⪤ *gwa ⪤ *k/gwaːy	bee (dammer)	23, 213, 217, 486		*k	*kwa ⪤ *gwa ⪤ *k/gwaːy	animal		2370	2370
597	PTB	*kwak	bowl	321		*k	*kwak	tool		?	
598	PLB	*kwakᴴ	bowl	321		*k	*kwak	tool			
599	PTB	*k(w)aːy	hang	214		*k	*k(w)aːy	tool		?	
600	PTB	*d-kʷəy-n	dog	20, 23, 24, 62, 96, 141, 196, 201, 448		*k	*kʷəy	animal		1764	1764
601	PTB	*kʷəy	nest	196		*k	*kʷəy	animal		1611	1611
602	PLB	*kʷəy¹	nest	25		*k	*kʷəy	animal			1611
603	PLB	*kʷəy²	dog	25, 62		*k	*kʷəy	animal			6045
604	PLB	*ʔ-gʷəy² ⪤ *ʔ-gʷi²	comb	196, 477		*k	*kʷi	tool		1220,1146	1220,1146
